text,emotion,label
You Can Smell Hillary’s Fear,fear,FAKE
Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),sadness,FAKE
Kerry to go to Paris in gesture of sympathy,joy,REAL
Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',anger,FAKE
The Battle of New York: Why This Primary Matters,neutral,REAL
"Tehran, USA",neutral,FAKE
Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,fear,FAKE
‘Britain’s Schindler’ Dies at 106,sadness,REAL
Fact check: Trump and Clinton at the 'commander-in-chief' forum,neutral,REAL
Iran reportedly makes new push for uranium concessions in nuclear talks,neutral,REAL
"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",fear,REAL
Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,disgust,REAL
"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",neutral,FAKE
10 Ways America Is Preparing for World War 3,neutral,FAKE
"Trump takes on Cruz, but lightly",neutral,REAL
How women lead differently,neutral,REAL
Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,disgust,FAKE
Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,fear,FAKE
What's in that Iran bill that Obama doesn't like?,neutral,REAL
The 1 chart that explains everything you need to know about partisanship in America,neutral,REAL
The slippery slope to Trump’s proposed ban on Muslims,fear,REAL
Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,joy,FAKE
Hillary Clinton Makes A Bipartisan Appeal on Staten Island,neutral,REAL
New Senate majority leader’s main goal for GOP: Don’t be scary,fear,REAL
‘Inferno’ and the Overpopulation Myth,neutral,FAKE
Anti-Trump forces seek last-ditch delegate revolt,anger,REAL
Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,neutral,REAL
Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist,neutral,REAL
Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible),disgust,REAL
"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",neutral,FAKE
GOP insiders: Carly crushed it,anger,REAL
Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],neutral,FAKE
Why It’s Necessary To Relax Into A Stretch,neutral,FAKE
"Brexit Encourages UK to Trade With Non-EU States, Including Russia",neutral,FAKE
"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",neutral,FAKE
Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,neutral,FAKE
First Ever Hindu Woman Elected into Congress,neutral,FAKE
Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,disgust,FAKE
Ex-Assistant FBI Director: Clintons Are a Crime Family,fear,FAKE
Hillary Wants Aggressively Interventionist Foreign Policy,anger,FAKE
Both parties want to craft populist messages for 2016,neutral,REAL
First Take: Wall Street bids goodbye to June hike,sadness,REAL
Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater,surprise,FAKE
Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists,anger,FAKE
"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’",fear,REAL
220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record,fear,FAKE
Obama makes the right call to tough it out in Afghanistan,neutral,REAL
Senate race rankings: Dems attack as GOP lays swing-state groundwork,anger,REAL
‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock,surprise,FAKE
Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed,fear,FAKE
American politics has reached peak polarization,neutral,REAL
Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),anger,REAL
"3 Effects of Substance Abuse on Individual, Family and Community",disgust,FAKE
Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops,neutral,FAKE
New Comment Features have been Added,neutral,FAKE
World's newspapers react to 'Hebdo' attack,fear,REAL
Ying and Yang (the Gold and Silver Set-Up),neutral,FAKE
"Closed primaries, 'warped' democracy?",neutral,REAL
Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,anger,FAKE
Donald Trump: Hillary Clinton has 'caused tremendous death',fear,REAL
Detroit women’s Halloween decorations depict ‘real-life horrors’ … such as shootings police by police,fear,FAKE
Biden makes another surprise political stop,surprise,REAL
"Hillary Clinton's declining favorability numbers, in context",neutral,REAL
Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan’s Relative for Supreme Court by lenore.lee,neutral,FAKE
Hillary Clinton: The criminal investigation keeps moving forward,neutral,REAL
Rubio’s parting shot at Trump,anger,REAL
Loretta Lynch becomes first African-American woman AG.,neutral,REAL
Why it's funny Republicans are upset with Facebook: Column,surprise,REAL
FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,fear,REAL
Is google and YouTube in the Hillary's purse?,neutral,FAKE
Handicapping the Hispanic vote for 2016 GOPers,neutral,REAL
Truth Will Out Radio: The Laconia Incident,neutral,FAKE
GOP establishment nightmare? Ted Cruz vs. Donald Trump,fear,REAL
Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution,sadness,REAL
Should I Get Botox?,sadness,FAKE
Jeb Bush Picks Up Endorsement From Lindsey Graham,neutral,REAL
"2016 Republican race enters a new, volatile phase",fear,REAL
"‘Hands up, don’t shoot’ was built on a lie",anger,REAL
Lavrov and Kerry discuss Syrian settlement,neutral,FAKE
BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed,neutral,FAKE
Bernie Sanders' call for ouster of two convention co-chairs rejected,anger,REAL
Five Reasons the New York Democratic Primary Felt Competitive,neutral,REAL
"To get around Congress, Obama turns to city halls",neutral,REAL
Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,neutral,FAKE
John Kerry: ISIS responsible for genocide,disgust,REAL
Mitt Romney's Re-Invention As Anti-Poverty Warrior,neutral,REAL
King: Fill the Supreme Court vacancy,neutral,REAL
"Ted Cruz is toast: It’s not just that he won’t be president — his days in the Senate are numbered, too",neutral,REAL
Obama’s speech in Selma was an answer to those who question his love for America,neutral,REAL
Where Does Bernie Sanders Go From Here?,neutral,REAL
Exclusive: GOP campaigns plot revolt against RNC,fear,REAL
Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,neutral,FAKE
Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],anger,FAKE
"Why Hillary Clinton, not Bernie Sanders, 'won' town hall",neutral,REAL
French police hunt two brothers accused of Charlie Hebdo terror attack,fear,REAL
"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",neutral,FAKE
CNN: One voter can make a difference by voting repeatedly,neutral,FAKE
Give Social Security recipients a CEO-style raise,neutral,REAL
"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",anger,REAL
"Obama, sounding like his critics, admits no 'complete strategy' for Iraq",sadness,REAL
How Ted Cruz Became Ted Cruz,neutral,REAL
Newly Approved GM Potatoes Have Potential to Silence Human Genes,neutral,FAKE
Accord reached after Sanders sues the DNC over suspended access to critical voter list,anger,REAL
Why the latest Patriot Act reform won’t be enough to rein in the NSA,neutral,REAL
